id,频道,分类,频道别名
500104,第一财经,付费,第一财经|YDCJ
500105,金色学堂,付费,金色学堂|JSXT
500106,生活时尚,付费,生活时尚|SHSS
500107,茶频道,付费,茶频道|CPDD
500108,快乐垂钓,付费,快乐垂钓|KLCD
300100,湖南影视,影视,湖南影视
300200,浙江影视,影视,浙江影视
300300,江苏影视,影视,江苏影视
300400,北京影视,影视,北京影视
300500,东方影视,影视,东方影视
300600,安徽影视,影视,安徽影视
300700,广东影视,影视,广东影视
300800,深圳影视,影视,深圳影视
300900,辽宁影视,影视,辽宁影视
301000,海南影视,影视,海南影视
301100,山东影视,影视,山东影视
301200,天津影视,影视,天津影视
301300,重庆影视,影视,重庆影视
301400,东南影视,影视,东南影视
301500,甘肃影视,影视,甘肃影视
301600,广西影视,影视,广西影视
301700,贵州影视,影视,贵州影视
301800,河北影视,影视,河北影视
301900,黑龙江影视,影视,黑龙江影视
302000,河南影视,影视,河南影视
302100,湖北影视,影视,湖北影视
302200,江西影视,影视,江西影视
302300,吉林影视,影视,吉林影视
302400,内蒙古影视,影视,内蒙古影视
302500,宁夏影视,影视,宁夏影视
302600,山西影视,影视,山西影视
302700,陕西影视,影视,陕西影视
302800,四川影视,影视,四川影视
302900,厦门影视,影视,厦门影视
303000,新疆影视,影视,新疆影视
303100,云南影视,影视,云南影视
303200,青海影视,影视,青海影视
303300,西藏影视,影视,西藏影视
400100,中国教育1,国教,CETV1,中国教育1,CETV-1,中国教育-1
400110,中国教育2,国教,CETV2,中国教育2,CETV-2,中国教育-2
400120,中国教育3,国教,CETV3,中国教育3,CETV-3,中国教育-3
400130,中国教育4,国教,CETV4,中国教育4,CETV-4,中国教育-4
400200,CGTN,国教,CGTN
400210,CGTN法语,国教,CGTN Français,CGTN法语
400220,CGTN俄语,国教,CGTN Русский,CGTN俄语
400230,CGTN阿语,国教,CGTN Arabic,CGTN阿语,CGTN阿拉伯语
400240,CGTN西语,国教,CGTN Español,CGTN西语,CGTN西班牙语
400250,CGTN纪录,国教,CGTN Documentary,CGTN记录,CGTN外语记录,CGTN纪录,CGTN外语纪录
400800,第一财经,数字,第一财经,第1财经
400900,梨园频道,数字,梨园
401000,电竞天堂,数字,电竞天堂
401100,生活时尚,数字,生活时尚
401200,国学频道,数字,国学频道
401300,中国天气,数字,中国天气
401400,中华特产,数字,中华特产
401500,欢笑剧场,数字,欢笑剧场
401600,备用备用备用,数字,备用备用备用
401700,求索科学,数字,求索科学
401800,求索动物,数字,求索动物
401900,求索记录,数字,求索记录
402000,备用备用备用,数字,备用备用备用
402100,备用备用备用,数字,备用备用备用
402200,备用备用备用,数字,备用备用备用
402300,备用备用备用,数字,备用备用备用
402400,彩民在线,数字,彩民在线
402500,法律服务,数字,法律服务
402600,留学世界,数字,留学世界
402700,青年学苑,数字,青年学苑
402800,摄影频道,数字,摄影频道
402900,天元围棋,数字,天元围棋
403000,现代女性,数字,现代女性
403100,早期教育,数字,早期教育
403200,证券资讯,数字,证券资讯
403300,备用备用备用,数字,备用备用备用
403400,茶频道,数字,茶频
403500,武术世界,数字,武术世界
403600,发现之旅,数字,发现之旅
403700,环球奇观,数字,环球奇观
403800,文物宝库,数字,文物宝库
403900,新科动漫,数字,新科动漫
404000,幼儿教育,数字,幼儿教育
404100,老故事,数字,老故事
404200,快乐垂钓,数字,快乐垂钓
404300,书画频道,数字,书画频道
404400,先锋乒羽,数字,先锋乒羽
404500,车迷频道,数字,车迷频道
404600,优优宝贝,数字,优优宝贝
404700,四海钓鱼,数字,四海钓鱼
404800,动感音乐,数字,动感音乐
404900,环球旅游,数字,环球旅游
405000,新娱乐,数字,新娱乐
405100,京视剧场,数字,京视剧场
405200,弈坛春秋,数字,弈坛春秋
405300,央广健康,数字,央广健康
405400,时代家居,数字,时代家居
405500,时代出行,数字,时代出行
405600,时代风尚,数字,时代风尚
405700,财富天下,数字,财富天下
405800,百姓健康,数字,百姓健康
405900,精品剧场,数字,精品剧场
406000,少儿动漫,数字,少儿动漫
406100,游戏风云,数字,游戏风云
500100,凤凰中文,港澳,凤凰中文,凤凰卫视
500200,凤凰资讯,港澳,凤凰资讯,凤凰-资讯,凤凰卫视资讯
500300,凤凰香港,港澳,凤凰香港
500400,翡翠台,港澳,翡翠台
500500,明珠台,港澳,明珠台
500600,天映经典,港澳,天映经典,天映頻道
500700,TVBS亚洲台,港澳,TVBS亚洲台
500800,HBO FAMILY,港澳,HBO FAMILY HD
500900,SHOWTIME FAMILY ZONE,港澳,SHOWTIME FAMILY ZONE HD
